================================================================================
UDP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
10.11.11.200:54890         <-> 10.11.11.11:53                   5 685 bytes       5 360 bytes      10 1045 bytes   187.752246000        18.6057
10.11.11.217:58286         <-> 10.11.11.11:53                   2 311 bytes       8 684 bytes      10 995 bytes   191.462496000        19.9937
10.11.11.217:59517         <-> 10.11.11.11:53                   2 398 bytes       8 728 bytes      10 1126 bytes   212.263688000        21.5047
10.11.11.195:55622         <-> 10.11.11.11:53                   5 435 bytes       5 380 bytes      10 815 bytes   262.761109000        17.6173
10.11.11.195:57637         <-> 10.11.11.11:53                   4 537 bytes       5 360 bytes       9 897 bytes    34.797330000        14.3311
10.11.11.179:64294         <-> 10.11.11.11:53                   2 298 bytes       7 563 bytes       9 861 bytes    73.865730000        15.8531
10.11.11.179:63828         <-> 10.11.11.11:53                   2 268 bytes       7 567 bytes       9 835 bytes    89.847079000        16.1001
10.11.11.179:62381         <-> 10.11.11.11:53                   2 272 bytes       7 571 bytes       9 843 bytes   106.342817000        14.8268
10.11.11.179:54749         <-> 10.11.11.11:53                   2 286 bytes       7 657 bytes       9 943 bytes   107.384082000        11.7855
10.11.11.217:64748         <-> 10.11.11.11:53                   2 276 bytes       7 593 bytes       9 869 bytes   164.919379000        16.1109
10.11.11.217:60985         <-> 10.11.11.11:53                   2 251 bytes       7 553 bytes       9 804 bytes   212.319375000        15.4143
10.11.11.200:64896         <-> 10.11.11.11:53                   4 361 bytes       5 410 bytes       9 771 bytes   228.050979000        15.8241
10.11.11.179:63153         <-> 10.11.11.11:53                   2 1078 bytes       6 459 bytes       8 1537 bytes     5.124151000       108.9345
10.11.11.195:65472         <-> 10.11.11.11:53                   4 348 bytes       4 304 bytes       8 652 bytes    31.415982000        11.6288
10.11.11.195:54831         <-> 10.11.11.11:53                   3 228 bytes       5 380 bytes       8 608 bytes    35.946007000        19.2673
10.11.11.195:57834         <-> 10.11.11.11:53                   4 337 bytes       4 304 bytes       8 641 bytes    38.332654000        14.8540
10.11.11.94:44428          <-> 172.217.12.67:443                4 2083 bytes       4 1885 bytes       8 3968 bytes    64.861987000         0.0861
10.11.11.179:58465         <-> 10.11.11.11:53                   2 364 bytes       6 450 bytes       8 814 bytes    73.873970000        43.2129
10.11.11.217:54710         <-> 10.11.11.11:53                   3 228 bytes       5 380 bytes       8 608 bytes   141.843759000        22.9649
10.11.11.217:60332         <-> 10.11.11.11:53                   3 259 bytes       5 405 bytes       8 664 bytes   163.856071000        23.5241
10.11.11.203:64631         <-> 10.11.11.11:53                   3 216 bytes       5 360 bytes       8 576 bytes   166.500314000        22.6198
10.11.11.195:55443         <-> 10.11.11.11:53                   3 228 bytes       5 380 bytes       8 608 bytes   177.250487000        24.0667
10.11.11.203:59415         <-> 10.11.11.11:53                   3 219 bytes       5 365 bytes       8 584 bytes   185.848816000        19.6809
10.11.11.200:55005         <-> 10.11.11.11:53                   3 378 bytes       5 360 bytes       8 738 bytes   186.578411000        19.7796
10.11.11.195:63903         <-> 10.11.11.11:53                   3 228 bytes       5 380 bytes       8 608 bytes   189.300567000        16.0791
10.11.11.200:57463         <-> 10.11.11.11:53                   3 240 bytes       5 400 bytes       8 640 bytes   215.759068000        20.0403
10.11.11.200:56229         <-> 10.11.11.11:53                   3 234 bytes       5 390 bytes       8 624 bytes   215.775148000        20.0225
10.11.11.200:61886         <-> 10.11.11.11:53                   3 219 bytes       5 365 bytes       8 584 bytes   216.050166000        20.0022
10.11.11.121:5353          <-> 224.0.0.251:5353                 0 0 bytes         8 1344 bytes       8 1344 bytes   245.124605000        82.1110
10.11.11.203:63197         <-> 10.11.11.11:53                   3 228 bytes       5 380 bytes       8 608 bytes   260.400453000        19.9780
10.11.11.200:58250         <-> 10.11.11.11:53                   2 152 bytes       5 380 bytes       7 532 bytes    24.345904000        18.6989
10.11.11.195:61915         <-> 10.11.11.11:53                   2 316 bytes       5 565 bytes       7 881 bytes    42.065413000        27.3426
10.11.11.217:57267         <-> 10.11.11.11:53                   2 297 bytes       5 458 bytes       7 755 bytes    74.126033000        12.5196
10.11.11.217:58231         <-> 10.11.11.11:53                   2 158 bytes       5 395 bytes       7 553 bytes   212.335411000        26.4697
10.11.11.200:61092         <-> 10.11.11.11:53                   2 164 bytes       5 410 bytes       7 574 bytes   216.026996000        24.0809
10.11.11.200:51593         <-> 10.11.11.11:53                   2 146 bytes       5 365 bytes       7 511 bytes   230.182064000        24.1227
10.11.11.203:52992         <-> 10.11.11.11:53                   2 162 bytes       5 365 bytes       7 527 bytes   367.441406000        19.3786
10.11.11.203:50797         <-> 10.11.11.11:53                   2 164 bytes       5 370 bytes       7 534 bytes   404.916991000        15.4271
10.11.11.195:57185         <-> 10.11.11.11:53                   2 177 bytes       5 415 bytes       7 592 bytes   510.378282000        12.3149
10.11.11.195:53606         <-> 10.11.11.11:53                   1 75 bytes        5 375 bytes       6 450 bytes    33.246312000        10.8121
10.11.11.195:5353          <-> 224.0.0.251:5353                 0 0 bytes         6 516 bytes       6 516 bytes    44.438612000         0.0741
10.11.11.195:51511         <-> 10.11.11.11:53                   1 86 bytes        5 430 bytes       6 516 bytes    45.317011000        11.9233
10.11.11.195:61967         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes    47.111339000        12.1569
10.11.11.195:65187         <-> 10.11.11.11:53                   1 91 bytes        5 455 bytes       6 546 bytes    48.431928000        11.8502
10.11.11.217:5353          <-> 224.0.0.251:5353                 0 0 bytes         6 965 bytes       6 965 bytes    53.823565000       121.2090
10.11.11.203:57152         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes    74.010719000        11.6210
10.11.11.203:56003         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes    87.208338000        11.6051
10.11.11.195:59045         <-> 10.11.11.11:53                   1 83 bytes        5 415 bytes       6 498 bytes   102.186210000        11.8379
10.11.11.179:49524         <-> 10.11.11.11:53                   2 152 bytes       4 304 bytes       6 456 bytes   106.382287000        21.9220
10.11.11.195:61708         <-> 10.11.11.11:53                   1 83 bytes        5 415 bytes       6 498 bytes   114.038675000        11.2006
10.11.11.195:63013         <-> 10.11.11.11:53                   1 89 bytes        5 445 bytes       6 534 bytes   122.471660000        11.8942
10.11.11.195:57307         <-> 10.11.11.11:53                   1 82 bytes        5 410 bytes       6 492 bytes   126.896097000        11.5249
10.11.11.195:63652         <-> 10.11.11.11:53                   1 109 bytes       5 385 bytes       6 494 bytes   127.429482000        12.0055
10.11.11.179:53986         <-> 10.11.11.11:53                   2 272 bytes       4 320 bytes       6 592 bytes   127.440919000         7.9651
10.11.11.179:52967         <-> 10.11.11.11:53                   2 290 bytes       4 356 bytes       6 646 bytes   128.669235000         7.7521
10.11.11.195:53667         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   131.346591000        12.1445
10.11.11.195:64911         <-> 10.11.11.11:53                   1 82 bytes        5 410 bytes       6 492 bytes   137.469037000        12.1059
10.11.11.195:56570         <-> 10.11.11.11:53                   1 109 bytes       5 385 bytes       6 494 bytes   139.460362000        12.1424
10.11.11.195:60405         <-> 10.11.11.11:53                   1 109 bytes       5 385 bytes       6 494 bytes   139.460542000        12.1423
10.11.11.195:50337         <-> 10.11.11.11:53                   1 109 bytes       5 385 bytes       6 494 bytes   141.671075000        11.9597
10.11.11.195:53779         <-> 10.11.11.11:53                   1 71 bytes        5 355 bytes       6 426 bytes   142.410199000        11.2207
10.11.11.179:63197         <-> 10.11.11.11:53                   2 156 bytes       4 312 bytes       6 468 bytes   143.773768000        23.0388
10.11.11.179:57863         <-> 10.11.11.11:53                   2 276 bytes       4 296 bytes       6 572 bytes   143.850438000        15.8721
10.11.11.195:63924         <-> 10.11.11.11:53                   1 109 bytes       5 385 bytes       6 494 bytes   153.665764000        12.1327
10.11.11.195:50863         <-> 10.11.11.11:53                   1 89 bytes        5 445 bytes       6 534 bytes   153.698375000        12.1003
10.11.11.195:49245         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   157.759392000        12.0952
10.11.11.217:56416         <-> 10.11.11.11:53                   2 152 bytes       4 304 bytes       6 456 bytes   164.912799000        18.4179
10.11.11.195:60270         <-> 10.11.11.11:53                   1 109 bytes       5 385 bytes       6 494 bytes   165.686580000        11.2666
10.11.11.195:59479         <-> 10.11.11.11:53                   1 109 bytes       5 385 bytes       6 494 bytes   165.708182000        11.2451
10.11.11.195:64875         <-> 10.11.11.11:53                   1 82 bytes        5 410 bytes       6 492 bytes   165.732994000        11.2203
10.11.11.195:65448         <-> 10.11.11.11:53                   1 73 bytes        5 365 bytes       6 438 bytes   166.007666000        11.9586
10.11.11.217:64841         <-> 10.11.11.11:53                   2 148 bytes       4 296 bytes       6 444 bytes   172.360683000        22.8445
10.11.11.195:61847         <-> 10.11.11.11:53                   1 83 bytes        5 415 bytes       6 498 bytes   174.755451000        10.3097
10.11.11.195:52084         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   176.318380000        10.7738
10.11.11.195:62106         <-> 10.11.11.11:53                   1 89 bytes        5 445 bytes       6 534 bytes   181.090019000        11.0719
10.11.11.200:51630         <-> 10.11.11.11:53                   3 468 bytes       3 243 bytes       6 711 bytes   182.946362000         3.1654
10.11.11.195:62852         <-> 10.11.11.11:53                   1 83 bytes        5 415 bytes       6 498 bytes   186.086336000        12.1597
10.11.11.200:54776         <-> 10.11.11.11:53                   1 160 bytes       5 400 bytes       6 560 bytes   187.116393000         8.1143
10.11.11.200:51916         <-> 10.11.11.11:53                   1 70 bytes        5 350 bytes       6 420 bytes   187.132955000        16.4712
10.11.11.200:59360         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   187.752432000        11.5211
10.11.11.200:51651         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   199.277917000        12.1497
10.11.11.200:60332         <-> 10.11.11.11:53                   1 126 bytes       5 360 bytes       6 486 bytes   200.540536000        11.9011
10.11.11.195:57601         <-> 10.11.11.11:53                   1 89 bytes        5 445 bytes       6 534 bytes   201.362027000        12.0936
10.11.11.200:61565         <-> 10.11.11.11:53                   1 70 bytes        5 350 bytes       6 420 bytes   201.477711000        11.9780
10.11.11.195:53138         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   202.795439000        11.6742
10.11.11.200:62135         <-> 10.11.11.11:53                   1 82 bytes        5 410 bytes       6 492 bytes   212.694686000        11.9147
10.11.11.200:62236         <-> 10.11.11.11:53                   1 72 bytes        5 360 bytes       6 432 bytes   216.042488000        11.6091
10.11.11.200:56702         <-> 10.11.11.11:53                   1 231 bytes       5 400 bytes       6 631 bytes   216.047290000        11.6049
10.11.11.195:62839         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   217.306132000        11.3591
10.11.11.200:49865         <-> 10.11.11.11:53                   1 188 bytes       5 365 bytes       6 553 bytes   219.724059000         8.1580
10.11.11.200:62290         <-> 10.11.11.11:53                   1 82 bytes        5 410 bytes       6 492 bytes   224.612370000        12.1647
10.11.11.200:64547         <-> 10.11.11.11:53                   2 160 bytes       4 320 bytes       6 480 bytes   227.801244000        20.1592
10.11.11.200:63225         <-> 10.11.11.11:53                   2 156 bytes       4 312 bytes       6 468 bytes   227.821093000        16.0758
10.11.11.217:49537         <-> 10.11.11.11:53                   3 360 bytes       3 231 bytes       6 591 bytes   227.827595000         3.8799
10.11.11.195:61986         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   228.685298000        12.1479
10.11.11.200:62165         <-> 10.11.11.11:53                   1 72 bytes        5 360 bytes       6 432 bytes   229.901397000        11.9456
10.11.11.203:55171         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   230.402696000        11.4446
10.11.11.200:56932         <-> 10.11.11.11:53                   1 84 bytes        5 420 bytes       6 504 bytes   235.942972000        11.9880
10.11.11.200:52167         <-> 10.11.11.11:53                   1 84 bytes        5 420 bytes       6 504 bytes   247.940247000        11.1445
10.11.11.200:59424         <-> 10.11.11.11:53                   1 82 bytes        5 410 bytes       6 492 bytes   255.037635000        12.1589
10.11.11.195:62298         <-> 10.11.11.11:53                   1 89 bytes        5 445 bytes       6 534 bytes   291.985256000        11.7146
10.11.11.195:64187         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   322.760000000        10.3453
10.11.11.203:55938         <-> 10.11.11.11:53                   1 89 bytes        5 365 bytes       6 454 bytes   479.156096000         8.2088
10.11.11.195:63154         <-> 10.11.11.11:53                   1 83 bytes        5 415 bytes       6 498 bytes   485.322255000        12.0232
10.11.11.195:54397         <-> 10.11.11.11:53                   1 83 bytes        5 415 bytes       6 498 bytes   498.361625000        12.1639
10.11.11.195:55888         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   517.752536000        12.0385
10.11.11.195:61143         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   522.422827000        11.4242
10.11.11.195:55573         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   541.032645000        11.0659
10.11.11.195:55319         <-> 10.11.11.11:53                   1 76 bytes        5 380 bytes       6 456 bytes   547.745487000        11.4509
10.11.11.203:53630         <-> 10.11.11.11:53                   1 89 bytes        5 365 bytes       6 454 bytes   682.953210000         8.2301
10.11.11.203:53673         <-> 10.11.11.11:53                   1 89 bytes        5 365 bytes       6 454 bytes   891.806188000         8.2456
10.11.11.179:56296         <-> 10.11.11.11:53                   1 323 bytes       4 368 bytes       5 691 bytes     4.468555000         7.2110
10.11.11.179:58664         <-> 10.11.11.11:53                   1 241 bytes       4 336 bytes       5 577 bytes     4.468782000         7.3138
10.11.11.179:63299         <-> 10.11.11.11:53                   1 179 bytes       4 340 bytes       5 519 bytes     4.476791000        11.1746
10.11.11.195:55918         <-> 10.11.11.11:53                   1 144 bytes       4 308 bytes       5 452 bytes    34.797456000         7.2719
10.11.11.195:62692         <-> 10.11.11.11:53                   1 144 bytes       4 308 bytes       5 452 bytes    34.801020000         7.2591
10.11.11.195:63267         <-> 10.11.11.11:53                   1 144 bytes       4 308 bytes       5 452 bytes    34.803571000         7.2569
10.11.11.195:61382         <-> 10.11.11.11:53                   1 144 bytes       4 308 bytes       5 452 bytes    34.806347000         7.3003
10.11.11.195:64113         <-> 10.11.11.11:53                   1 133 bytes       4 344 bytes       5 477 bytes    34.809881000         7.2598
10.11.11.195:64767         <-> 10.11.11.11:53                   1 85 bytes        4 340 bytes       5 425 bytes    35.345219000         7.6993
10.11.11.217:57555         <-> 10.11.11.11:53                   1 159 bytes       4 312 bytes       5 471 bytes    41.159169000         7.0061
10.11.11.217:58493         <-> 10.11.11.11:53                   1 203 bytes       4 296 bytes       5 499 bytes    41.159959000         7.0055
10.11.11.217:56745         <-> 10.11.11.11:53                   1 243 bytes       4 340 bytes       5 583 bytes    41.160153000         7.0054
10.11.11.217:65382         <-> 10.11.11.11:53                   1 193 bytes       4 328 bytes       5 521 bytes    57.788356000         7.7388
10.11.11.217:57325         <-> 10.11.11.11:53                   1 153 bytes       4 296 bytes       5 449 bytes    62.656487000        11.8215
10.11.11.179:62341         <-> 10.11.11.11:53                   1 182 bytes       4 304 bytes       5 486 bytes    65.363543000         8.1263
10.11.11.179:49396         <-> 10.11.11.11:53                   1 256 bytes       4 336 bytes       5 592 bytes    65.506738000         7.9821
10.11.11.179:59496         <-> 10.11.11.11:53                   1 179 bytes       4 300 bytes       5 479 bytes    73.856733000         7.7591
10.11.11.179:53499         <-> 10.11.11.11:53                   1 180 bytes       4 308 bytes       5 488 bytes    73.864670000         7.7513
10.11.11.179:58556         <-> 10.11.11.11:53                   1 102 bytes       4 280 bytes       5 382 bytes    73.873053000        10.7743
10.11.11.217:64042         <-> 10.11.11.11:53                   1 182 bytes       4 384 bytes       5 566 bytes    86.982903000         7.8042
10.11.11.179:58875         <-> 10.11.11.11:53                   1 127 bytes       4 328 bytes       5 455 bytes   106.643604000         7.4144
10.11.11.179:52908         <-> 10.11.11.11:53                   1 164 bytes       4 292 bytes       5 456 bytes   106.695095000         7.3582
10.11.11.179:54272         <-> 10.11.11.11:53                   1 75 bytes        4 300 bytes       5 375 bytes   115.241326000        12.0259
10.11.11.179:61964         <-> 10.11.11.11:53                   1 177 bytes       4 340 bytes       5 517 bytes   117.261995000         8.0032
10.11.11.179:59225         <-> 10.11.11.11:53                   1 186 bytes       4 316 bytes       5 502 bytes   119.208568000         8.0958
10.11.11.179:50850         <-> 10.11.11.11:53                   2 437 bytes       3 273 bytes       5 710 bytes   120.584701000         4.6843
10.11.11.195:56599         <-> 10.11.11.11:53                   1 157 bytes       4 308 bytes       5 465 bytes   123.209790000         4.0936
10.11.11.179:53497         <-> 10.11.11.11:53                   1 281 bytes       4 320 bytes       5 601 bytes   123.701085000         7.6590
10.11.11.179:62950         <-> 10.11.11.11:53                   1 71 bytes        4 284 bytes       5 355 bytes   123.701288000        11.6778
10.11.11.195:58280         <-> 10.11.11.11:53                   1 129 bytes       4 308 bytes       5 437 bytes   127.458143000         7.9481
10.11.11.179:52449         <-> 10.11.11.11:53                   1 82 bytes        4 328 bytes       5 410 bytes   131.642654000        11.9306
10.11.11.179:64918         <-> 10.11.11.11:53                   1 173 bytes       4 308 bytes       5 481 bytes   131.644836000         7.8135
10.11.11.217:52686         <-> 10.11.11.11:53                   1 130 bytes       4 316 bytes       5 446 bytes   132.546276000         7.9931
10.11.11.195:49633         <-> 10.11.11.11:53                   1 152 bytes       4 348 bytes       5 500 bytes   137.465522000         4.0462
10.11.11.217:56287         <-> 10.11.11.11:53                   1 141 bytes       4 316 bytes       5 457 bytes   140.911688000         7.7299
10.11.11.217:56373         <-> 10.11.11.11:53                   1 144 bytes       4 336 bytes       5 480 bytes   141.729073000         7.8759
10.11.11.217:58733         <-> 10.11.11.11:53                   1 125 bytes       4 284 bytes       5 409 bytes   164.761465000         7.1534
10.11.11.217:59197         <-> 10.11.11.11:53                   1 75 bytes        4 300 bytes       5 375 bytes   164.917366000        12.0361
10.11.11.217:49982         <-> 10.11.11.11:53                   1 72 bytes        4 288 bytes       5 360 bytes   164.921495000        12.0319
10.11.11.217:63747         <-> 10.11.11.11:53                   1 122 bytes       4 336 bytes       5 458 bytes   164.923376000         8.0261
10.11.11.217:55607         <-> 10.11.11.11:53                   1 76 bytes        4 304 bytes       5 380 bytes   172.156406000        10.8802
10.11.11.200:63253         <-> 10.11.11.11:53                   1 138 bytes       4 308 bytes       5 446 bytes   187.119756000         4.0507
10.11.11.200:65264         <-> 10.11.11.11:53                   1 184 bytes       4 312 bytes       5 496 bytes   199.813590000         7.5888
10.11.11.200:62014         <-> 10.11.11.11:53                   1 172 bytes       4 304 bytes       5 476 bytes   207.817858000         7.6884
10.11.11.217:61910         <-> 10.11.11.11:53                   1 249 bytes       4 288 bytes       5 537 bytes   212.234437000         7.3768
10.11.11.200:63779         <-> 10.11.11.11:53                   1 119 bytes       4 300 bytes       5 419 bytes   216.033478000         7.5932
10.11.11.200:50624         <-> 10.11.11.11:53                   1 149 bytes       4 308 bytes       5 457 bytes   216.463840000         7.1642
10.11.11.200:63258         <-> 10.11.11.11:53                   1 92 bytes        4 304 bytes       5 396 bytes   219.927682000         7.7540
10.11.11.200:51287         <-> 10.11.11.11:53                   1 279 bytes       4 320 bytes       5 599 bytes   227.656022000         4.0798
10.11.11.200:57951         <-> 10.11.11.11:53                   1 261 bytes       4 304 bytes       5 565 bytes   228.039470000         7.7573
10.11.11.121:3942          <-> 239.255.255.250:1900             0 0 bytes         5 680 bytes       5 680 bytes   243.340786000         0.0004
10.11.11.200:53996         <-> 10.11.11.11:53                   1 82 bytes        4 328 bytes       5 410 bytes   247.685545000         7.3443
10.11.11.203:52522         <-> 10.11.11.11:53                   1 142 bytes       4 288 bytes       5 430 bytes   264.067152000         7.3879
10.11.11.203:62748         <-> 10.11.11.11:53                   1 88 bytes        4 288 bytes       5 376 bytes   513.412298000         7.4208
10.11.11.195:58523         <-> 10.11.11.11:53                   1 193 bytes       4 384 bytes       5 577 bytes   516.548370000         7.1897
10.11.11.195:53781         <-> 10.11.11.11:53                   1 126 bytes       4 288 bytes       5 414 bytes   551.851810000        11.4005
10.11.11.203:60548         <-> 10.11.11.11:53                   1 89 bytes        4 292 bytes       5 381 bytes   575.265883000         7.4206
10.11.11.203:60901         <-> 10.11.11.11:53                   1 90 bytes        4 296 bytes       5 386 bytes   608.728059000         7.4114
10.11.11.203:55625         <-> 10.11.11.11:53                   1 89 bytes        4 292 bytes       5 381 bytes   642.190805000         7.4166
10.11.11.203:49856         <-> 10.11.11.11:53                   1 88 bytes        4 288 bytes       5 376 bytes   717.227707000         7.4091
10.11.11.203:58281         <-> 10.11.11.11:53                   1 88 bytes        4 288 bytes       5 376 bytes   750.674584000         7.4332
10.11.11.203:62442         <-> 10.11.11.11:53                   1 89 bytes        4 292 bytes       5 381 bytes   784.151509000         7.3993
10.11.11.203:57076         <-> 10.11.11.11:53                   1 90 bytes        4 296 bytes       5 386 bytes   817.600698000         7.4244
10.11.11.203:56036         <-> 10.11.11.11:53                   1 89 bytes        4 292 bytes       5 381 bytes   851.070988000         7.4030
10.11.11.203:61376         <-> 10.11.11.11:53                   1 88 bytes        4 288 bytes       5 376 bytes   926.092319000         7.4361
10.11.11.203:61886         <-> 10.11.11.11:53                   1 88 bytes        4 288 bytes       5 376 bytes   959.558557000         7.4345
10.11.11.179:49330         <-> 10.11.11.11:53                   1 224 bytes       3 219 bytes       4 443 bytes     4.468115000         3.1010
10.11.11.179:63869         <-> 10.11.11.11:53                   1 103 bytes       3 261 bytes       4 364 bytes     6.321013000         3.2762
10.11.11.179:50230         <-> 10.11.11.11:53                   1 179 bytes       3 246 bytes       4 425 bytes     9.495253000         3.1349
10.11.11.200:59698         <-> 224.0.0.252:5355                 0 0 bytes         4 300 bytes       4 300 bytes    18.458871000        12.9988
10.11.11.200:54295         <-> 224.0.0.252:5355                 0 0 bytes         4 300 bytes       4 300 bytes    18.663809000        13.0936
10.11.11.200:56480         <-> 224.0.0.252:5355                 0 0 bytes         4 300 bytes       4 300 bytes    21.528254000        13.0389
10.11.11.200:64820         <-> 224.0.0.252:5355                 0 0 bytes         4 256 bytes       4 256 bytes    21.834891000        13.0122
10.11.11.217:59746         <-> 10.11.11.11:53                   1 162 bytes       3 246 bytes       4 408 bytes    40.726732000         6.4232
10.11.11.217:54382         <-> 10.11.11.11:53                   1 224 bytes       3 219 bytes       4 443 bytes    41.159049000         3.0097
10.11.11.217:62368         <-> 10.11.11.11:53                   2 166 bytes       2 144 bytes       4 310 bytes    41.674709000        10.4958
10.11.11.217:57252         <-> 10.11.11.11:53                   1 179 bytes       3 246 bytes       4 425 bytes    46.173905000         3.9996
10.11.11.94:54568          <-> 239.255.255.250:1900             0 0 bytes         4 872 bytes       4 872 bytes    62.851403000         3.0038
10.11.11.179:59669         <-> 10.11.11.11:53                   1 103 bytes       3 261 bytes       4 364 bytes    65.019737000         3.4390
10.11.11.203:50629         <-> 224.0.0.252:5355                 0 0 bytes         4 296 bytes       4 296 bytes    68.364870000        13.0858
10.11.11.203:60038         <-> 224.0.0.252:5355                 0 0 bytes         4 296 bytes       4 296 bytes    68.641340000        13.1097
10.11.11.203:51967         <-> 224.0.0.252:5355                 0 0 bytes         4 256 bytes       4 256 bytes    71.427870000        13.1034
10.11.11.179:62326         <-> 10.11.11.11:53                   1 94 bytes        3 234 bytes       4 328 bytes    73.872748000         3.7333
10.11.11.179:65483         <-> 10.11.11.11:53                   1 132 bytes       3 204 bytes       4 336 bytes    73.927446000         3.6271
10.11.11.179:52416         <-> 10.11.11.11:53                   1 141 bytes       3 258 bytes       4 399 bytes    73.938607000         3.6158
10.11.11.179:52819         <-> 10.11.11.11:53                   1 109 bytes       3 231 bytes       4 340 bytes    77.787931000        11.8997
10.11.11.179:51644         <-> 10.11.11.11:53                   1 160 bytes       3 228 bytes       4 388 bytes   106.374587000         3.6571
10.11.11.179:62608         <-> 10.11.11.11:53                   1 158 bytes       3 219 bytes       4 377 bytes   106.380050000         3.6247
10.11.11.179:63102         <-> 10.11.11.11:53                   1 130 bytes       3 225 bytes       4 355 bytes   106.403127000         3.6015
10.11.11.179:51116         <-> 10.11.11.11:53                   1 197 bytes       3 249 bytes       4 446 bytes   106.407314000         3.6173
10.11.11.179:58168         <-> 10.11.11.11:53                   1 115 bytes       3 234 bytes       4 349 bytes   106.486095000         3.5233
10.11.11.179:62419         <-> 10.11.11.11:53                   1 128 bytes       3 240 bytes       4 368 bytes   106.498455000         3.5465
10.11.11.179:51352         <-> 10.11.11.11:53                   1 95 bytes        3 237 bytes       4 332 bytes   106.592352000         3.4176
10.11.11.179:60707         <-> 10.11.11.11:53                   1 184 bytes       3 252 bytes       4 436 bytes   106.641914000         3.3626
10.11.11.179:49346         <-> 10.11.11.11:53                   1 93 bytes        3 231 bytes       4 324 bytes   106.756320000         3.2540
