================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
10.11.11.200:49272         <-> 52.36.13.119:443                83 21 kB          88 12 kB         171 34 kB       237.649515000       783.1294
10.11.11.200:49229         <-> 104.18.74.113:443               88 87 kB          81 6745 bytes     169 94 kB       229.073017000        85.1625
10.11.11.200:49205         <-> 151.101.50.208:443              79 99 kB          79 5554 bytes     158 105 kB      204.197179000         0.3891
10.11.11.179:50280         <-> 172.217.12.33:443               80 98 kB          76 6253 bytes     156 104 kB      145.452261000        16.7468
10.11.11.200:49206         <-> 151.101.50.208:443              72 90 kB          73 5194 bytes     145 95 kB       204.186978000         0.3968
10.11.11.179:50235         <-> 13.33.255.25:80                 77 96 kB          66 6800 bytes     143 103 kB       94.667174000       106.3013
10.11.11.179:50250         <-> 151.101.50.2:80                 82 111 kB         59 4278 bytes     141 115 kB      123.132921000        46.9182
10.11.11.217:62551         <-> 172.217.6.162:443               70 53 kB          70 10 kB         140 63 kB       177.552829000        78.9817
10.11.11.200:49250         <-> 216.239.32.21:443               69 82 kB          69 4838 bytes     138 86 kB       232.692542000        81.5430
10.11.11.217:62556         <-> 172.217.9.166:443               65 74 kB          66 5699 bytes     131 79 kB       185.191985000         0.1810
10.11.11.179:50243         <-> 13.33.255.25:80                 68 85 kB          60 6100 bytes     128 91 kB       119.528845000        81.4394
10.11.11.200:49207         <-> 151.101.50.208:443              63 77 kB          63 4578 bytes     126 82 kB       204.198641000         0.3789
10.11.11.179:50242         <-> 13.33.255.25:80                 66 83 kB          59 6034 bytes     125 89 kB       119.526012000        81.4424
10.11.11.179:50248         <-> 216.58.194.46:443               61 50 kB          64 7632 bytes     125 57 kB       119.655071000        33.0793
10.11.11.217:62552         <-> 172.217.12.66:443               60 11 kB          65 8198 bytes     125 19 kB       181.909044000        58.3689
10.11.11.179:50229         <-> 23.77.84.211:443                65 72 kB          56 4837 bytes     121 77 kB        90.723581000        43.2814
10.11.11.179:50245         <-> 13.33.255.25:80                 64 76 kB          56 5836 bytes     120 82 kB       119.529573000        81.4386
10.11.11.179:50244         <-> 13.33.255.25:80                 62 77 kB          53 5243 bytes     115 82 kB       119.528845000        81.4388
10.11.11.179:50257         <-> 31.13.93.26:443                 63 66 kB          47 4197 bytes     110 70 kB       123.235916000        65.2538
10.11.11.200:49209         <-> 151.101.50.208:443              54 64 kB          54 4054 bytes     108 68 kB       204.197415000         0.3609
10.11.11.200:49202         <-> 151.101.50.208:443              54 63 kB          53 4010 bytes     107 67 kB       204.186976000         0.3719
10.11.11.179:50230         <-> 13.249.79.119:443               50 54 kB          53 4764 bytes     103 59 kB        90.726239000       120.2286
10.11.11.200:49198         <-> 13.33.255.37:80                 47 56 kB          53 4627 bytes     100 60 kB       199.137901000       115.1171
10.11.11.195:50191         <-> 31.13.93.26:443                 66 69 kB          32 2690 bytes      98 72 kB       190.002011000        65.1790
10.11.11.179:50246         <-> 13.33.255.25:80                 52 66 kB          45 4664 bytes      97 70 kB       119.530031000        81.4384
10.11.11.179:50288         <-> 35.190.62.200:443               41 8160 bytes      52 7813 bytes      93 15 kB       160.710666000        49.6452
10.11.11.217:62542         <-> 94.31.29.96:80                  49 54 kB          44 5174 bytes      93 59 kB       161.671130000         4.2013
10.11.11.217:62536         <-> 172.217.2.238:80                48 61 kB          44 3540 bytes      92 64 kB       158.352486000        30.3224
10.11.11.179:50285         <-> 143.204.31.50:80                47 61 kB          44 3338 bytes      91 64 kB       156.614020000        44.3640
10.11.11.179:50231         <-> 143.204.29.89:80                46 53 kB          42 4388 bytes      88 58 kB        94.663605000        75.4089
10.11.11.217:62540         <-> 94.31.29.96:80                  47 51 kB          41 4690 bytes      88 56 kB       161.665813000         4.2016
10.11.11.217:62555         <-> 172.217.9.166:443               43 49 kB          42 3830 bytes      85 53 kB       184.935485000         0.1799
10.11.11.179:50241         <-> 172.217.1.136:443               42 48 kB          40 3671 bytes      82 51 kB       119.427024000         0.1695
10.11.11.200:49215         <-> 13.33.252.19:80                 36 44 kB          39 3136 bytes      75 47 kB       212.316254000       101.9387
10.11.11.217:62569         <-> 23.204.246.46:443               35 11 kB          40 5399 bytes      75 17 kB       225.333426000        59.4962
10.11.11.179:50268         <-> 143.204.29.61:443               36 38 kB          36 3459 bytes      72 42 kB       134.187398000         2.5560
10.11.11.179:50289         <-> 143.204.29.3:443                36 39 kB          36 3522 bytes      72 42 kB       160.711041000         0.2363
10.11.11.179:50222         <-> 17.248.185.100:443              33 10 kB          38 7189 bytes      71 17 kB        86.504831000         1.7076
10.11.11.200:49223         <-> 172.217.1.136:443               31 35 kB          34 2765 bytes      65 38 kB       228.772711000        85.4572
10.11.11.217:62522         <-> 35.185.55.255:80                32 37 kB          30 3777 bytes      62 41 kB       153.917328000        20.4682
10.11.11.217:62565         <-> 172.217.6.162:80                32 40 kB          30 2308 bytes      62 42 kB       225.014739000        30.1636
10.11.11.179:50286         <-> 35.186.255.8:80                 32 31 kB          29 6197 bytes      61 37 kB       156.614955000        44.3409
10.11.11.200:49208         <-> 151.101.50.208:443              31 31 kB          30 2614 bytes      61 33 kB       204.197991000         0.3845
10.11.11.179:50221         <-> 143.204.29.34:80                30 35 kB          30 2391 bytes      60 37 kB        86.504428000        53.2320
10.11.11.195:50189         <-> 23.203.62.34:443                29 21 kB          31 2831 bytes      60 24 kB       178.744165000        72.4378
10.11.11.94:59877          <-> 172.217.1.136:443               36 34 kB          22 2480 bytes      58 37 kB       100.507740000       240.1132
10.11.11.195:50161         <-> 12.133.50.22:80                 33 41 kB          25 1946 bytes      58 43 kB       139.370055000         0.2932
10.11.11.179:50283         <-> 172.217.6.162:80                32 40 kB          26 2033 bytes      58 42 kB       148.731601000        52.2154
10.11.11.200:49225         <-> 216.58.194.46:443               25 26 kB          31 3863 bytes      56 30 kB       229.032101000        85.1986
10.11.11.179:50236         <-> 143.204.29.89:80                29 33 kB          26 2503 bytes      55 36 kB        94.667552000        45.0743
10.11.11.195:50160         <-> 12.133.50.22:80                 31 38 kB          23 1826 bytes      54 40 kB       139.370054000         0.2975
10.11.11.217:62525         <-> 172.217.12.42:80                29 36 kB          24 1953 bytes      53 38 kB       153.936863000        30.5236
10.11.11.195:50167         <-> 172.217.12.42:80                28 35 kB          24 1830 bytes      52 36 kB       140.315280000       105.1204
10.11.11.179:50227         <-> 151.101.50.2:80                 28 34 kB          23 1913 bytes      51 36 kB        90.671449000        49.0474
10.11.11.217:62541         <-> 94.31.29.96:80                  26 24 kB          23 3200 bytes      49 27 kB       161.668510000         4.1886
10.11.11.217:62520         <-> 172.217.12.36:443               20 3976 bytes      28 4067 bytes      48 8043 bytes   145.632079000         8.3434
10.11.11.217:62530         <-> 216.58.194.46:443               24 20 kB          23 2583 bytes      47 22 kB       154.397664000         0.2111
10.11.11.217:62564         <-> 23.204.246.46:80                25 21 kB          22 3976 bytes      47 25 kB       224.507636000        31.6818
10.11.11.195:50140         <-> 12.133.50.21:80                 29 34 kB          17 1400 bytes      46 36 kB       136.029606000         0.4001
10.11.11.179:50247         <-> 172.217.12.36:443               21 8663 bytes      24 3292 bytes      45 11 kB       119.645313000         7.6551
10.11.11.195:50177         <-> 12.133.50.21:80                 24 28 kB          21 1726 bytes      45 30 kB       140.513550000         0.2287
10.11.11.217:62539         <-> 94.31.29.96:80                  22 15 kB          21 3608 bytes      43 19 kB       161.661910000         4.2105
10.11.11.217:62545         <-> 143.204.26.216:80               23 27 kB          20 1668 bytes      43 28 kB       175.866862000        30.1899
10.11.11.195:50142         <-> 12.133.50.21:80                 25 29 kB          17 1438 bytes      42 30 kB       136.040070000         0.3915
10.11.11.94:51794          <-> 216.58.194.46:443               25 24 kB          16 2063 bytes      41 26 kB       105.680989000        90.3210
10.11.11.217:62523         <-> 35.185.55.255:80                21 19 kB          20 3118 bytes      41 22 kB       153.920306000        20.4597
10.11.11.217:62524         <-> 35.185.55.255:80                20 18 kB          21 3249 bytes      41 21 kB       153.922170000        20.4635
10.11.11.121:60320         <-> 173.236.251.15:80               20 21 kB          21 2391 bytes      41 23 kB       259.834509000        70.6644
10.11.11.195:50152         <-> 12.133.50.21:80                 21 24 kB          19 1569 bytes      40 25 kB       136.496597000         0.2340
10.11.11.94:42370          <-> 172.217.6.174:443               22 15 kB          17 2148 bytes      39 17 kB       101.630782000       240.1028
10.11.11.179:50269         <-> 143.204.29.20:443               18 9194 bytes      21 2565 bytes      39 11 kB       136.762631000         0.3607
10.11.11.217:62543         <-> 172.217.9.136:443               17 5623 bytes      22 3451 bytes      39 9074 bytes   162.658846000         0.1639
10.11.11.179:50217         <-> 17.57.144.87:5223               15 4888 bytes      23 7121 bytes      38 12 kB        28.716962000        50.8781
10.11.11.179:50260         <-> 172.217.9.3:443                 17 10 kB          21 2566 bytes      38 12 kB       127.108279000         0.1132
10.11.11.195:50159         <-> 12.133.50.22:80                 21 24 kB          17 1441 bytes      38 25 kB       139.369842000         0.2507
10.11.11.179:50277         <-> 13.33.255.39:443                19 14 kB          19 2368 bytes      38 17 kB       144.430578000         0.2141
10.11.11.217:62533         <-> 192.0.77.32:443                 18 11 kB          20 2135 bytes      38 13 kB       157.637699000         0.3312
10.11.11.217:62544         <-> 108.177.103.155:443             17 5217 bytes      21 2624 bytes      38 7841 bytes   162.821249000         0.1578
10.11.11.200:49246         <-> 172.217.12.66:443               18 15 kB          20 2085 bytes      38 17 kB       232.592187000        81.6378
10.11.11.200:49247         <-> 172.217.12.66:443               18 15 kB          20 1925 bytes      38 17 kB       232.592405000        81.6375
10.11.11.179:50214         <-> 172.217.12.42:443               15 7384 bytes      22 2715 bytes      37 10 kB        22.611390000       120.9593
10.11.11.203:49161         <-> 10.11.11.11:49155               17 3832 bytes      20 7042 bytes      37 10 kB        69.533290000        87.1741
10.11.11.217:62560         <-> 151.101.50.49:443               17 9417 bytes      20 2809 bytes      37 12 kB       194.093931000         0.3990
10.11.11.200:49244         <-> 13.33.255.110:443               17 15 kB          20 1960 bytes      37 17 kB       232.590936000        81.6638
10.11.11.200:49260         <-> 104.16.51.111:443               18 8899 bytes      19 2183 bytes      37 11 kB       233.884254000        80.3513
10.11.11.179:50233         <-> 143.204.29.89:80                18 18 kB          18 2428 bytes      36 20 kB        94.666178000        75.4070
10.11.11.217:62534         <-> 172.217.2.238:443               15 10 kB          21 2626 bytes      36 12 kB       157.639881000         0.3167
10.11.11.217:62571         <-> 104.254.149.69:443              15 8214 bytes      21 4797 bytes      36 13 kB       232.704075000        13.9792
10.11.11.121:33326         <-> 64.233.178.147:443              20 2765 bytes      16 3013 bytes      36 5778 bytes   246.182938000         7.5266
10.11.11.195:50192         <-> 13.107.5.88:443                 20 13 kB          16 1950 bytes      36 15 kB       536.759602000       121.2175
10.11.11.179:50240         <-> 143.204.29.8:443                17 12 kB          18 2265 bytes      35 15 kB       119.033536000        51.0411
10.11.11.179:50275         <-> 13.33.255.72:80                 18 20 kB          17 1629 bytes      35 21 kB       140.434447000        60.5434
10.11.11.217:62529         <-> 172.217.9.131:80                19 20 kB          16 1810 bytes      35 22 kB       154.357736000        31.1907
10.11.11.200:49214         <-> 104.19.199.151:443              16 10 kB          19 1840 bytes      35 12 kB       208.245806000       105.9897
10.11.11.217:62574         <-> 3.211.86.101:443                17 6326 bytes      18 2435 bytes      35 8761 bytes   246.794104000        60.3549
10.11.11.179:50234         <-> 143.204.29.89:80                16 11 kB          18 2827 bytes      34 14 kB        94.666603000        75.4068
10.11.11.179:50254         <-> 172.217.12.77:443               15 5762 bytes      19 2626 bytes      34 8388 bytes   123.134694000         0.1342
10.11.11.179:50256         <-> 172.217.2.238:443               14 5949 bytes      20 2623 bytes      34 8572 bytes   123.135839000         0.1420
10.11.11.179:50291         <-> 52.27.110.51:443                16 4753 bytes      18 3446 bytes      34 8199 bytes   171.872289000        60.3778
10.11.11.200:49221         <-> 52.8.143.229:443                14 8380 bytes      20 3162 bytes      34 11 kB       228.522773000        85.7454
10.11.11.217:62570         <-> 35.244.140.139:443              15 4856 bytes      19 2796 bytes      34 7652 bytes   228.603927000         0.2829
10.11.11.94:40655          <-> 172.217.1.142:443               17 6635 bytes      16 2362 bytes      33 8997 bytes    96.222399000       240.1257
10.11.11.179:50273         <-> 13.33.255.72:80                 17 19 kB          16 1564 bytes      33 20 kB       140.432649000        60.5452
10.11.11.217:62531         <-> 172.217.6.162:443               14 6589 bytes      19 2500 bytes      33 9089 bytes   154.625452000         0.1556
10.11.11.217:62546         <-> 143.204.26.216:443              15 7761 bytes      18 2903 bytes      33 10 kB       176.076190000         0.6054
10.11.11.217:62557         <-> 209.15.36.37:443                13 5499 bytes      20 3968 bytes      33 9467 bytes   186.004663000         5.7002
10.11.11.200:49252         <-> 172.217.6.162:443               15 8343 bytes      18 3803 bytes      33 12 kB       232.763495000        81.4647
10.11.11.94:41879          <-> 172.217.12.46:443               17 6841 bytes      15 1989 bytes      32 8830 bytes    96.485836000       240.1291
10.11.11.179:50255         <-> 184.31.241.232:443              14 8200 bytes      18 3687 bytes      32 11 kB       123.135296000        77.8463
10.11.11.195:50174         <-> 104.17.220.204:443              15 8629 bytes      17 1652 bytes      32 10 kB       140.320091000       105.1156
10.11.11.179:50282         <-> 172.217.6.162:443               13 6499 bytes      19 2440 bytes      32 8939 bytes   147.473406000         0.1462
10.11.11.179:50276         <-> 130.211.47.17:443               15 4249 bytes      16 2308 bytes      31 6557 bytes   144.430186000         0.2363
10.11.11.217:62554         <-> 204.74.252.28:443               13 7033 bytes      18 2616 bytes      31 9649 bytes   182.072136000         3.2734
10.11.11.200:49220         <-> 52.8.143.229:443                13 7713 bytes      18 2579 bytes      31 10 kB       228.522772000        85.7453
10.11.11.121:52326         <-> 34.215.55.47:443                13 7521 bytes      18 1996 bytes      31 9517 bytes   325.574720000         3.9051
10.11.11.179:50219         <-> 72.21.81.189:443                13 6904 bytes      17 1531 bytes      30 8435 bytes    39.038763000         0.4894
10.11.11.179:50237         <-> 143.204.29.89:80                14 13 kB          16 1838 bytes      30 15 kB        94.668097000        45.0738
10.11.11.179:50261         <-> 108.177.103.154:443             13 4815 bytes      17 2313 bytes      30 7128 bytes   127.108882000         0.1329
10.11.11.195:50155         <-> 12.133.50.22:80                 16 16 kB          14 1286 bytes      30 17 kB       139.368378000         0.2352
10.11.11.200:49255         <-> 104.18.70.113:443               14 8378 bytes      16 2268 bytes      30 10 kB       232.947705000        81.2878
10.11.11.179:50223         <-> 143.204.29.34:80                15 16 kB          14 1308 bytes      29 17 kB        86.880973000        52.8558
10.11.11.179:50266         <-> 34.98.72.95:443                 12 5526 bytes      17 2281 bytes      29 7807 bytes   130.403920000         3.2163
10.11.11.217:62553         <-> 35.211.144.153:443              14 8593 bytes      15 2214 bytes      29 10 kB       181.987497000        33.9835
10.11.11.200:49219         <-> 13.33.255.31:443                14 7589 bytes      15 2146 bytes      29 9735 bytes   220.530227000        93.7248
10.11.11.200:49270         <-> 209.15.36.23:443                13 4881 bytes      16 2447 bytes      29 7328 bytes   236.972154000        77.3045
10.11.11.200:49271         <-> 209.15.36.23:443                13 4897 bytes      16 2479 bytes      29 7376 bytes   236.972155000        77.2899
10.11.11.217:62516         <-> 17.142.171.10:443               12 4269 bytes      16 2243 bytes      28 6512 bytes    60.197931000        30.5784
10.11.11.217:62517         <-> 23.77.85.37:443                 12 6516 bytes      16 1954 bytes      28 8470 bytes    63.227617000        30.5927
10.11.11.179:50259         <-> 172.226.209.65:443              12 5870 bytes      16 3021 bytes      28 8891 bytes   127.107724000        73.8478
10.11.11.217:62558         <-> 107.178.246.49:443              12 4647 bytes      16 2223 bytes      28 6870 bytes   188.986140000         0.2190
10.11.11.200:49237         <-> 172.217.12.36:443               12 5440 bytes      16 4007 bytes      28 9447 bytes   229.426946000        84.8030
10.11.11.121:50148         <-> 99.80.223.1:5223                15 3191 bytes      13 1554 bytes      28 4745 bytes   245.228941000        93.5553
10.11.11.200:49279         <-> 10.11.11.11:389                 13 4669 bytes      15 4427 bytes      28 9096 bytes   936.679745000         0.5993
10.11.11.203:49222         <-> 10.11.11.11:389                 13 4666 bytes      15 4403 bytes      28 9069 bytes   988.389033000         0.4604
10.11.11.195:50133         <-> 13.107.246.254:443              14 7470 bytes      13 1186 bytes      27 8656 bytes    56.082450000       121.9939
10.11.11.203:49172         <-> 10.11.11.11:445                 11 2164 bytes      16 5307 bytes      27 7471 bytes    70.753271000        38.4794
10.11.11.200:49189         <-> 10.11.11.11:49155               12 2421 bytes      15 4335 bytes      27 6756 bytes   113.098353000        49.5846
10.11.11.200:49194         <-> 10.11.11.11:445                 11 2164 bytes      16 5371 bytes      27 7535 bytes   113.902587000        40.1393
10.11.11.217:62527         <-> 172.217.6.162:80                15 17 kB          12 1143 bytes      27 18 kB       154.341789000        31.2066
10.11.11.200:49249         <-> 104.254.149.101:443             13 5535 bytes      14 2269 bytes      27 7804 bytes   232.623624000        81.6332
10.11.11.200:49173         <-> 10.11.11.11:445                 11 2164 bytes      15 5287 bytes      26 7451 bytes    21.104068000        12.9236
10.11.11.179:50215         <-> 23.77.85.37:443                 11 6450 bytes      15 1927 bytes      26 8377 bytes    25.644310000        30.9826
10.11.11.217:62518         <-> 17.167.194.224:443              11 4110 bytes      15 2532 bytes      26 6642 bytes    78.592546000         2.3642
10.11.11.217:62519         <-> 172.226.184.85:443              11 6213 bytes      15 2039 bytes      26 8252 bytes   107.874360000         1.2869
10.11.11.179:50270         <-> 13.33.255.72:80                 12 10 kB          14 3259 bytes      26 14 kB       140.333946000        60.6434
10.11.11.195:50183         <-> 172.217.9.131:80                15 16 kB          11 1101 bytes      26 17 kB       148.420558000        97.0145
10.11.11.200:49265         <-> 209.15.36.23:443                12 4451 bytes      14 1750 bytes      26 6201 bytes   236.646127000        77.6162
10.11.11.200:49273         <-> 35.186.194.58:443               11 6979 bytes      15 2144 bytes      26 9123 bytes   240.696691000        73.5333
10.11.11.121:40231         <-> 52.9.197.142:443                12 7158 bytes      14 2443 bytes      26 9601 bytes   272.485164000        65.5308
10.11.11.121:40234         <-> 52.9.197.142:443                12 7158 bytes      14 2136 bytes      26 9294 bytes   272.488095000        65.5288
10.11.11.179:50216         <-> 23.77.85.37:443                 11 6450 bytes      14 1867 bytes      25 8317 bytes    25.644311000        30.9828
10.11.11.195:50134         <-> 13.107.18.254:443               14 7470 bytes      11 1066 bytes      25 8536 bytes    55.074473000       125.1666
10.11.11.203:49190         <-> 10.11.11.11:445                 10 1858 bytes      15 5138 bytes      25 6996 bytes   105.342713000        39.9294
10.11.11.195:50143         <-> 12.133.50.21:80                 14 13 kB          11 1077 bytes      25 14 kB       136.042186000         0.3837
10.11.11.195:50182         <-> 172.217.9.131:80                14 15 kB          11 1097 bytes      25 16 kB       148.420559000        97.0149
10.11.11.217:62537         <-> 172.217.6.138:443               10 5379 bytes      15 2035 bytes      25 7414 bytes   161.618492000         0.1412
10.11.11.200:49235         <-> 172.217.9.134:443               11 5859 bytes      14 1952 bytes      25 7811 bytes   229.303374000        84.9266
10.11.11.200:49239         <-> 23.2.175.193:443                11 5360 bytes      14 1562 bytes      25 6922 bytes   232.585906000        81.6440
10.11.11.200:49268         <-> 34.198.217.170:443              11 6367 bytes      14 1645 bytes      25 8012 bytes   236.704345000        77.5494
10.11.11.121:40230         <-> 52.9.197.142:443                12 7158 bytes      13 2183 bytes      25 9341 bytes   272.485163000        65.5307
10.11.11.200:49177         <-> 10.11.11.11:389                 11 3865 bytes      13 3550 bytes      24 7415 bytes    28.114151000         0.3020
10.11.11.195:50135         <-> 131.253.33.254:443              13 7416 bytes      11 1075 bytes      24 8491 bytes    55.081352000       121.3390
10.11.11.195:50136         <-> 13.107.6.254:443                13 7137 bytes      11 1066 bytes      24 8203 bytes    55.082172000       123.8546
10.11.11.195:50137         <-> 13.107.49.254:443               13 7416 bytes      11 1066 bytes      24 8482 bytes    55.118327000       123.2474
10.11.11.217:49162         <-> 17.57.144.85:5223               10 4303 bytes      14 3275 bytes      24 7578 bytes    61.189948000         0.8631
10.11.11.203:49177         <-> 10.11.11.11:389                 11 3865 bytes      13 3532 bytes      24 7397 bytes    78.753979000         0.2699
10.11.11.179:50262         <-> 151.101.50.2:80                 11 1688 bytes      13 2986 bytes      24 4674 bytes   127.109309000         0.1423
10.11.11.195:50139         <-> 12.133.50.21:80                 12 10 kB          12 1102 bytes      24 11 kB       135.452899000         0.9686
10.11.11.200:49238         <-> 23.2.175.193:443                11 5361 bytes      13 1502 bytes      24 6863 bytes   232.585905000        81.6440
10.11.11.200:49240         <-> 54.204.11.255:443               10 4542 bytes      14 1650 bytes      24 6192 bytes   232.589283000        81.6653
10.11.11.200:49245         <-> 13.33.255.110:443               11 5949 bytes      13 1093 bytes      24 7042 bytes   232.591177000        81.6518
10.11.11.200:49253         <-> 172.217.6.162:443               11 5763 bytes      13 2036 bytes      24 7799 bytes   232.763699000        81.4662
10.11.11.200:49264         <-> 209.15.36.23:443                12 4435 bytes      12 1614 bytes      24 6049 bytes   236.646126000        77.6169
10.11.11.179:50249         <-> 52.39.8.230:80                  10 3992 bytes      13 7034 bytes      23 11 kB       123.131099000        77.8878
10.11.11.195:50190         <-> 23.203.62.34:443                11 3841 bytes      12 1159 bytes      23 5000 bytes   178.744166000        40.2360
10.11.11.200:49251         <-> 216.239.32.21:443               11 6542 bytes      12 1019 bytes      23 7561 bytes   232.692781000        81.5428
10.11.11.121:52328         <-> 34.215.55.47:443                11 1502 bytes      12 1620 bytes      23 3122 bytes   326.142416000         4.0091
10.11.11.121:52342         <-> 34.215.55.47:443                10 7292 bytes      13 1376 bytes      23 8668 bytes   331.120592000         0.5093
10.11.11.200:49162         <-> 10.11.11.11:49155               10 2045 bytes      12 3746 bytes      22 5791 bytes    19.844109000        56.5291
10.11.11.94:59848          <-> 216.58.194.35:80                 8 1034 bytes      14 2618 bytes      22 3652 bytes    64.356253000       128.7133
10.11.11.200:49182         <-> 10.11.11.11:445                  9 1712 bytes      13 4682 bytes      22 6394 bytes    78.367157000        15.6657
10.11.11.195:50172         <-> 104.17.220.204:443               9 4254 bytes      13 1181 bytes      22 5435 bytes   140.319292000       105.1164
10.11.11.195:50184         <-> 172.217.9.131:80                14 14 kB           8 920 bytes      22 15 kB       148.421008000        97.0146
10.11.11.200:49256         <-> 104.18.70.113:443                9 5709 bytes      13 1082 bytes      22 6791 bytes   232.947706000        81.2498
10.11.11.200:49258         <-> 104.18.74.113:443                9 5709 bytes      13 1117 bytes      22 6826 bytes   233.245093000        80.9563
10.11.11.200:49259         <-> 104.18.74.113:443                9 5709 bytes      13 1117 bytes      22 6826 bytes   233.245319000        80.9558
10.11.11.121:41928         <-> 108.177.9.113:443               11 1503 bytes      11 2064 bytes      22 3567 bytes   260.690865000         0.2008
10.11.11.200:49285         <-> 10.11.11.11:445                  9 1712 bytes      13 4682 bytes      22 6394 bytes   978.548534000        15.4896
10.11.11.200:49171         <-> 10.11.11.11:445                  9 2074 bytes      12 2278 bytes      21 4352 bytes    20.984098000        13.0341
10.11.11.203:49170         <-> 10.11.11.11:445                  9 2074 bytes      12 2274 bytes      21 4348 bytes    70.643429000        14.5896
10.11.11.179:50258         <-> 35.190.92.63:80                 10 7607 bytes      11 1097 bytes      21 8704 bytes   127.106097000        42.9446
10.11.11.200:49232         <-> 172.217.6.162:443                9 5513 bytes      12 1733 bytes      21 7246 bytes   229.149548000        85.0804
10.11.11.200:49243         <-> 54.204.11.255:443                9 3987 bytes      12 1035 bytes      21 5022 bytes   232.590061000        81.6624
10.11.11.200:49269         <-> 34.198.217.170:443              10 5828 bytes      11 986 bytes      21 6814 bytes   236.704346000        77.5513
10.11.11.121:52330         <-> 34.215.55.47:443                10 1357 bytes      11 1837 bytes      21 3194 bytes   326.855930000         4.0849
10.11.11.200:49166         <-> 10.11.11.11:389                  9 4810 bytes      11 3438 bytes      20 8248 bytes    20.844073000         0.8945
10.11.11.203:49165         <-> 10.11.11.11:389                  9 4810 bytes      11 3420 bytes      20 8230 bytes    70.503370000         0.9401
10.11.11.94:59878          <-> 172.217.1.136:443               10 4564 bytes      10 1249 bytes      20 5813 bytes   100.518383000       240.0827
10.11.11.94:42371          <-> 172.217.6.174:443               10 5069 bytes      10 1249 bytes      20 6318 bytes   101.642662000       240.0828
10.11.11.203:49193         <-> 10.11.11.11:445                  8 1406 bytes      12 4433 bytes      20 5839 bytes   128.362880000        10.8593
10.11.11.195:50146         <-> 12.133.50.21:80                 12 11 kB           8 896 bytes      20 12 kB       136.376941000         0.1739
10.11.11.200:49234         <-> 108.177.103.157:443              9 4477 bytes      11 1540 bytes      20 6017 bytes   229.254916000        84.9806
